Region ID,OSM ID,Access Score,Coordinates,Average Curb Ramp Score,Average No Curb Ramp Score,Average Obstacle Score,Average Surface Problem Score,Curb Ramp Significance,No Curb Ramp Significance,Obstacle Significance,Surface Problem Significance
59,26763825,1.5021118919431522e-22,"[(-100.3946595,25.6572012),(-100.3944784,25.6576157)]",1.0,17.0,22.0,12.0,0.75,-1.0,-1.0,-1.0
60,26763825,1.1548224173015786e-17,"[(-100.3941218,25.6584051),(-100.3937496,25.6592209)]",4.0,18.0,15.0,9.0,0.75,-1.0,-1.0,-1.0
61,26763825,1.6686955807649082e-24,"[(-100.3944784,25.6576157),(-100.3941218,25.6584051)]",3.0,23.0,22.0,12.0,0.75,-1.0,-1.0,-1.0
62,26764044,0.0024726231566347,"[(-100.3710736,25.644119),(-100.3711338,25.6447389)]",0.0,4.0,2.0,0.0,0.75,-1.0,-1.0,-1.0
63,26764044,3.059022269256247e-07,"[(-100.3711486,25.6453728),(-100.3711453,25.646045)]",0.0,4.0,7.0,4.0,0.75,-1.0,-1.0,-1.0
64,26764044,1.0261879630648827e-10,"[(-100.3711453,25.646045),(-100.3711441,25.6462762),(-100.3710975,25.6473102)]",0.0,4.0,9.0,10.0,0.75,-1.0,-1.0,-1.0
65,26764044,0.00012339457598623172,"[(-100.3711398,25.6449181),(-100.3711496,25.6451714),(-100.3711486,25.6453728)]",0.0,4.0,5.0,0.0,0.75,-1.0,-1.0,-1.0
66,26764044,0.0024726231566347,"[(-100.3711338,25.6447389),(-100.3711398,25.6449181)]",0.0,2.0,4.0,0.0,0.75,-1.0,-1.0,-1.0
67,26764044,5.905303995456777e-10,"[(-100.3710975,25.6473102),(-100.3710967,25.6477733)]",1.0,6.0,7.0,9.0,0.75,-1.0,-1.0,-1.0
68,26764044,1.186112001065766e-08,"[(-100.3710967,25.6477733),(-100.371109,25.6480204)]",1.0,6.0,5.0,8.0,0.75,-1.0,-1.0,-1.0
69,26764044,7.484622751061123e-05,"[(-100.3711131,25.6484338),(-100.3711227,25.6487123)]",2.0,8.0,2.0,1.0,0.75,-1.0,-1.0,-1.0
70,26764044,1.186112001065766e-08,"[(-100.371109,25.6480204),(-100.3711131,25.6484338)]",1.0,11.0,4.0,4.0,0.75,-1.0,-1.0,-1.0
71,26775061,6.387142293058422e-21,"[(-100.376363,25.6530975),(-100.3759287,25.6542691)]",2.0,17.0,17.0,14.0,0.75,-1.0,-1.0,-1.0
72,26775061,1.3347932285976013e-15,"[(-100.3743848,25.6598288),(-100.374301,25.660161),(-100.3741637,25.6607242),(-100.3741083,25.6608531)]",5.0,16.0,15.0,7.0,0.75,-1.0,-1.0,-1.0
73,26775061,1.3347932285976013e-15,"[(-100.3741083,25.6608531),(-100.3740247,25.6610657),(-100.3739224,25.6611516),(-100.3737517,25.6611754),(-100.3736523,25.6611589),(-100.3735642,25.6611609)]",5.0,11.0,17.0,10.0,0.75,-1.0,-1.0,-1.0
74,26775061,1.0815941557168708e-11,"[(-100.3744412,25.6592843),(-100.3744591,25.6593608),(-100.3744298,25.6596252),(-100.3743848,25.6598288)]",1.0,13.0,8.0,5.0,0.75,-1.0,-1.0,-1.0
75,26775061,2.3802664086944004e-26,"[(-100.3755612,25.6552605),(-100.3752117,25.6562459)]",0.0,18.0,28.0,13.0,0.75,-1.0,-1.0,-1.0
76,26775061,1.0530617357553812e-20,"[(-100.3748658,25.657253),(-100.3745155,25.658261)]",0.0,12.0,24.0,10.0,0.75,-1.0,-1.0,-1.0
77,26775061,4.363462233903898e-09,"[(-100.3743655,25.6586943),(-100.3743364,25.6589081),(-100.3744074,25.6591294),(-100.3744412,25.6592843)]",1.0,8.0,8.0,4.0,0.75,-1.0,-1.0,-1.0
78,26775061,1.186112001065766e-08,"[(-100.3745155,25.658261),(-100.3744487,25.6584539),(-100.3743655,25.6586943)]",1.0,8.0,9.0,2.0,0.75,-1.0,-1.0,-1.0
79,26775061,9.602680054508677e-24,"[(-100.3752117,25.6562459),(-100.3748658,25.657253)]",0.0,17.0,25.0,11.0,0.75,-1.0,-1.0,-1.0
80,26775061,6.138787977370498e-25,"[(-100.3759287,25.6542691),(-100.3755612,25.6552605)]",3.0,19.0,24.0,15.0,0.75,-1.0,-1.0,-1.0
81,26775061,1.8064461965456932e-16,"[(-100.3768027,25.6518433),(-100.376786,25.6518909),(-100.376363,25.6530975)]",1.0,14.0,14.0,9.0,0.75,-1.0,-1.0,-1.0
82,26775061,5.043474082014517e-07,"[(-100.37682290901422,25.65178553359408),(-100.3768027,25.6518433)]",2.0,5.0,8.0,3.0,0.75,-1.0,-1.0,-1.0
83,26775061,2.7535691114583476e-05,"[(-100.3768246,25.6517807),(-100.37682290901422,25.65178553359408)]",2.0,5.0,5.0,2.0,0.75,-1.0,-1.0,-1.0
84,26776735,0.4378234991142019,"[(-100.38028701626841,25.668885999549893),(-100.3802602,25.6681269)]",1.0,0.0,0.0,1.0,0.75,-1.0,-1.0,-1.0
85,26784765,2.646573631904765e-09,"[(-100.3994362,25.6647808),(-100.3997936913371,25.664913904523708)]",3.0,8.0,10.0,4.0,0.75,-1.0,-1.0,-1.0
86,26784765,1.4449800373124837e-07,"[(-100.40002786822389,25.665001095456038),(-100.4003021,25.6651032)]",3.0,6.0,8.0,4.0,0.75,-1.0,-1.0,-1.0
87,26784765,2.7535691114583476e-05,"[(-100.3997936913371,25.664913904523708),(-100.40002786822389,25.665001095456038)]",2.0,3.0,6.0,3.0,0.75,-1.0,-1.0,-1.0
88,26784765,1.1399918530430558e-12,"[(-100.3985516281543,25.66445524071838),(-100.3994362,25.6647808)]",6.0,13.0,11.0,8.0,0.75,-1.0,-1.0,-1.0
89,26784765,8.315280276641321e-07,"[(-100.3984374,25.6644132),(-100.3985516281543,25.66445524071838)]",4.0,6.0,5.0,6.0,0.75,-1.0,-1.0,-1.0
90,26784765,1.7832472907828393e-11,"[(-100.4011798,25.6654276),(-100.402058,25.6657211)]",11.0,6.0,19.0,8.0,0.75,-1.0,-1.0,-1.0
91,26784765,1.2015425731770345e-13,"[(-100.4003021,25.6651032),(-100.4011798,25.6654276)]",7.0,8.0,17.0,10.0,0.75,-1.0,-1.0,-1.0
92,26784768,5.6027964061459414e-09,"[(-100.4077515,25.666735),(-100.4075396,25.6667065)]",4.0,7.0,13.0,2.0,0.75,-1.0,-1.0,-1.0
93,26784768,9.736200303530203e-10,"[(-100.4033263,25.665219),(-100.4024193,25.6649193)]",7.0,6.0,14.0,6.0,0.75,-1.0,-1.0,-1.0
94,26784768,2.543665647376276e-13,"[(-100.4068467,25.6664626),(-100.4064163,25.6663221)]",8.0,8.0,15.0,12.0,0.75,-1.0,-1.0,-1.0
95,26784768,8.878265478451776e-13,"[(-100.4064163,25.6663221),(-100.405988,25.666178)]",7.0,6.0,15.0,12.0,0.75,-1.0,-1.0,-1.0
96,26784768,4.0831634601813082e-22,"[(-100.4050953,25.665872),(-100.4041721,25.6655571)]",5.0,15.0,24.0,14.0,0.75,-1.0,-1.0,-1.0
97,26784768,1.4828213355760042e-17,"[(-100.405988,25.666178),(-100.4050953,25.665872)]",3.0,12.0,21.0,8.0,0.75,-1.0,-1.0,-1.0
98,26784768,2.8257572871156028e-15,"[(-100.4075396,25.6667065),(-100.4068467,25.6664626)]",6.0,12.0,18.0,8.0,0.75,-1.0,-1.0,-1.0
99,26784768,4.248354255291589e-18,"[(-100.4041721,25.6655571),(-100.4033263,25.665219)]",8.0,11.0,24.0,11.0,0.75,-1.0,-1.0,-1.0
